Date/Time, Lon, Lat, Local X, Local Y, Snow Depth (m), Ice Thickness f1525Hz_hcp_i (m), Ice Thickness f1525Hz_hcp_q (m) Ice Thickness f5325Hz_hcp_i (m), Ice Thickness f5325Hz_hcp_q (m), Ice Thickness f18325Hz_hcp_i (m), Ice Thickness f18325Hz_hcp_q (m), Ice Thickness f63025Hz_hcp_i (m),Ice Thickness f63025Hz_hcp_q (m), Ice Thickness f93075Hz_hcp_i (m), Ice Thickness f93075Hz_hcp_q (m)
2020-02-28T11:36:03,33.661585,88.3394433,766.2458701347227,-244.2887978427949,0.2509,1.9803448979591831,6.338793877551019,3.9338142857142855,5.6854877551020415,4.699773469387756,5.143406122448978,4.917630612244898,4.497426530612244,4.815181632653062,4.229916326530612
2020-02-28T11:36:10,33.6609833,88.33943,767.0567061946919,-244.21504492069104,0.22010000000000002,2.0111448979591833,6.369593877551019,3.9646142857142856,5.716287755102041,4.730573469387755,5.174206122448977,4.9484306122448976,4.528226530612243,4.845981632653062,4.260716326530611
2020-02-28T11:36:16,33.660555,88.3394184,768.6034335756833,-244.42183452726115,0.10220000000000001,2.1290448979591834,6.487493877551019,4.082514285714286,5.834187755102041,4.848473469387756,5.292106122448978,5.066330612244898,4.646126530612244,4.963881632653062,4.3786163265306115
2020-02-28T11:36:19,33.6601517,88.3394067,769.7380506192362,-244.3891276125992,0.11289999999999999,2.1183448979591835,6.476793877551019,4.071814285714286,5.823487755102041,4.837773469387756,5.281406122448978,5.055630612244898,4.635426530612244,4.953181632653062,4.367916326530612
2020-02-28T11:36:26,33.6596984,88.339395,771.2027234566818,-244.3108700418974,0.0349,2.1963448979591833,6.554793877551019,4.149814285714285,5.901487755102041,4.915773469387755,5.359406122448977,5.133630612244898,4.713426530612243,5.031181632653062,4.445916326530611
2020-02-28T11:36:29,33.6594334,88.3393866,772.2768706368761,-244.31928692550528,0.2571,1.9741448979591834,6.332593877551019,3.9276142857142857,5.679287755102041,4.693573469387755,5.137206122448977,4.911430612244898,4.491226530612243,4.808981632653062,4.223716326530611
2020-02-28T11:36:34,33.6590067,88.3393766,773.162890237115,-244.2036266030696,0.1808,4.777896969696972,5.287684848484848,4.8735484848484845,5.166290909090909,5.166654545454547,4.884215151515151,5.160063636363637,4.358078787878789,5.029078787878789,4.16939696969697
2020-02-28T11:36:42,33.6585817,88.339365,774.2986506101525,-244.3035902211362,0.13140000000000002,4.557225,5.4708250000000005,4.89125,5.377174999999999,5.294499999999999,5.059325,5.3553999999999995,4.47355,5.221099999999998,4.251575
2020-02-28T11:36:49,33.658175,88.3393516,775.1712060619442,-244.25137032664486,0.11960000000000001,4.766951020408163,5.6992979591836725,5.07378775510204,5.621379591836734,5.525175510204082,5.3461959183673455,5.726175510204081,4.6284612244897945,5.597604081632653,4.358318367346938
2020-02-28T11:36:53,33.6577433,88.3393433,776.2652122038778,-244.01792997591906,0.1303,4.572992682926829,5.716065853658538,4.999260975609755,5.7632609756097555,5.5707243902439005,5.49150487804878,5.8676756097560965,4.713041463414634,5.735431707317074,4.427090243902439
