Date/Time, Lon, Lat, Local X, Local Y, Snow Depth (m), Ice Thickness f1525Hz_hcp_i (m), Ice Thickness f1525Hz_hcp_q (m) Ice Thickness f5325Hz_hcp_i (m), Ice Thickness f5325Hz_hcp_q (m), Ice Thickness f18325Hz_hcp_i (m), Ice Thickness f18325Hz_hcp_q (m), Ice Thickness f63025Hz_hcp_i (m),Ice Thickness f63025Hz_hcp_q (m), Ice Thickness f93075Hz_hcp_i (m), Ice Thickness f93075Hz_hcp_q (m)
2020-01-31T07:51:45,96.3053683,87.44645,781.5701144337631,-244.54609019709943,0.2279,8.6436,7.079494736842106,5.9266,6.3033368421052645,7.58981052631579,5.566626315789476,nan,4.098468421052632,6.930573684210527,3.7382052631578944
2020-01-31T07:51:49,96.3051533,87.4464583,782.5280439240992,-244.5197709518085,0.1617,8.7098,7.145694736842106,5.9928,6.369536842105265,7.65601052631579,5.632826315789476,nan,4.164668421052633,6.9967736842105275,3.804405263157894
2020-01-31T07:51:53,96.305005,87.4464617,783.5481728913544,-244.67304528399538,0.1668,9.4557,7.468964705882352,6.560789743589742,6.748379487179487,9.580657142857142,5.7287384615384624,nan,4.177353846153845,9.243895652173912,3.8021743589743595
2020-01-31T07:51:56,96.3043483,87.4464517,784.0930802714252,-244.39754450275987,0.1421,9.480400000000001,7.4936647058823525,6.585489743589743,6.773079487179487,9.605357142857143,5.753438461538463,nan,4.202053846153845,9.268595652173913,3.8268743589743592
2020-01-31T07:52:00,96.3042467,87.4464566,786.6987846051755,-242.06817586879018,0.1943,9.21278333333333,8.458699999999999,6.583015789473684,8.222405882352941,nan,6.273963157894738,nan,4.254305263157894,nan,3.8493315789473677
2020-01-31T07:52:04,96.303945,87.44646,787.0692773166282,-242.01997348051424,0.2583,9.14878333333333,8.394699999999998,6.519015789473684,8.158405882352941,nan,6.209963157894738,nan,4.190305263157894,nan,3.7853315789473676
2020-01-31T07:52:08,96.303605,87.4464783,788.3405435866189,-241.5197930646936,0.19820000000000002,9.297942857142857,8.1283,6.622984210526317,8.680080000000002,nan,6.455905263157894,nan,4.314563157894736,nan,3.900957894736843
2020-01-31T07:52:13,96.3032984,87.4464866,790.2726085984569,-242.5588950416755,0.2526,13.785400000000001,7.764066666666667,7.268715789473684,9.16358181818182,nan,6.620794736842104,nan,4.276268421052629,nan,3.8495052631578943
2020-01-31T07:52:17,96.3028283,87.4464916,791.6555211456616,-242.4679057662111,0.32899999999999996,nan,12.908999999999999,7.868666666666667,nan,nan,7.723621621621622,nan,4.24723076923077,nan,3.7864615384615394
2020-01-31T07:52:21,96.3016383,87.4464967,793.7807911238792,-241.89825370992384,0.2627,nan,nan,8.514642105263158,nan,nan,9.9848,nan,4.479326315789476,nan,3.992273684210526
2020-01-31T07:52:29,96.3017367,87.446505,799.3406086767686,-240.31015664364188,0.27399999999999997,nan,nan,9.927185185185186,nan,nan,nan,nan,4.792322580645161,nan,4.202354838709677
2020-01-31T07:52:33,96.3012567,87.4465133,798.5862714923269,-240.4741422930014,0.18420000000000003,nan,nan,10.016985185185185,nan,nan,nan,nan,4.882122580645161,nan,4.292154838709678
2020-01-31T07:52:37,96.3013283,87.4465183,800.8646469692317,-240.24364327296678,0.17300000000000001,7.236,nan,11.424125,nan,nan,nan,nan,4.847105263157895,nan,4.3026842105263166
2020-01-31T07:52:40,96.3011967,87.446495,800.4079782646568,-240.4485987704983,0.1427,nan,nan,11.49761578947368,nan,nan,nan,nan,4.90204358974359,nan,4.331376923076924
2020-01-31T07:52:44,96.3012633,87.446505,800.080893150927,-237.44350783747876,0.141,nan,nan,10.060185185185185,nan,nan,nan,nan,4.925322580645161,nan,4.335354838709677
2020-01-31T07:52:48,96.3007383,87.4465033,799.8084853998287,-238.17622445936877,0.3262,nan,nan,9.874985185185185,nan,nan,nan,nan,4.740122580645161,nan,4.150154838709677
2020-01-31T07:52:52,96.3007883,87.446515,801.9806128010291,-236.81169133120414,0.44789999999999996,nan,nan,nan,nan,nan,nan,nan,4.6026384615384615,nan,4.053766666666666
2020-01-31T07:52:56,96.3008433,87.44653,801.8418434548901,-237.7025788176749,0.3739,nan,nan,nan,nan,nan,nan,nan,4.676638461538461,nan,4.127766666666666
2020-01-31T07:53:03,96.3004333,87.4465333,801.7850723478189,-238.9536643374839,0.2268,nan,nan,nan,nan,nan,nan,nan,4.823738461538461,nan,4.274866666666666
2020-01-31T07:53:12,96.2998733,87.4465467,803.3549505384939,-237.9515847572831,0.293,nan,nan,nan,nan,nan,nan,nan,4.757538461538461,nan,4.208666666666666
2020-01-31T07:53:19,96.2999917,87.4465684,805.8105384885092,-237.5743037285307,1.1,8.013666666666667,nan,nan,nan,nan,7.42,nan,3.617025641025641,nan,3.163410256410255
2020-01-31T07:53:26,96.2993467,87.4465733,805.4415882556093,-239.27896133152902,1.199,nan,nan,nan,nan,nan,7.27,nan,3.754564102564104,nan,3.2495128205128205
2020-01-31T07:53:37,96.299055,87.446585,808.1727316717395,-238.0956881514587,1.198,nan,nan,nan,nan,nan,nan,nan,3.571815789473684,nan,3.0988684210526327
2020-01-31T07:53:43,96.298835,87.4465867,809.1519495829111,-237.69552412722607,1.2,nan,nan,nan,nan,nan,nan,nan,3.469564102564103,nan,3.0351794871794855
2020-01-31T07:53:48,96.29876,87.4466017,809.8262536072183,-236.88940978399862,1.199,nan,nan,nan,nan,nan,nan,nan,3.4705641025641034,nan,3.036179487179486
2020-01-31T07:53:53,96.298765,87.4466117,810.307184752104,-237.8257024365965,0.05174,nan,nan,nan,nan,nan,nan,nan,4.617824102564104,nan,4.183439487179486
2020-01-31T07:53:57,96.298405,87.4466217,810.2464921377804,-238.34127129415106,0.1191,nan,nan,nan,nan,nan,nan,nan,4.550464102564103,nan,4.116079487179485
