Date/Time, Lon, Lat, Local X, Local Y, Snow Depth (m), Ice Thickness f1525Hz_hcp_i (m), Ice Thickness f1525Hz_hcp_q (m) Ice Thickness f5325Hz_hcp_i (m), Ice Thickness f5325Hz_hcp_q (m), Ice Thickness f18325Hz_hcp_i (m), Ice Thickness f18325Hz_hcp_q (m), Ice Thickness f63025Hz_hcp_i (m),Ice Thickness f63025Hz_hcp_q (m), Ice Thickness f93075Hz_hcp_i (m), Ice Thickness f93075Hz_hcp_q (m)
2020-02-12T10:48:21,87.3789616,87.8784466,775.5292158310883,-248.43111290785893,0.3,4.458590909090909,4.627704545454547,4.584795454545454,4.538590909090909,4.644147727272731,4.231329545454545,4.556215909090911,3.7809886363636362,4.538931818181821,3.6527045454545473
2020-02-12T10:48:27,87.3785466,87.878455,776.1466800791355,-248.6257742494942,0.1989,4.559690909090909,4.728804545454547,4.685895454545454,4.639690909090909,4.745247727272731,4.332429545454545,4.657315909090911,3.882088636363636,4.6400318181818205,3.753804545454547
2020-02-12T10:48:34,87.3780533,87.8784617,777.0543816410096,-248.6587779125856,0.1079,4.650690909090909,4.819804545454547,4.776895454545454,4.730690909090909,4.836247727272731,4.423429545454545,4.748315909090911,3.973088636363636,4.731031818181821,3.844804545454547
2020-02-12T10:48:40,87.37757,87.8784717,778.1003659012953,-248.34929456574534,0.11019999999999999,4.645673015873017,4.8648,4.8568952380952375,4.83895873015873,4.920149206349207,4.520577777777778,4.833625396825398,4.067149206349206,4.788609523809524,3.92943492063492
2020-02-12T10:48:48,87.3770017,87.8784783,779.3134507231724,-248.51816730664316,0.2477,4.81489722222222,4.8786611111111124,4.842827777777776,4.846147222222222,4.964022222222223,4.532286111111111,4.898161111111112,4.023925,4.854688888888889,3.8618555555555556
2020-02-12T10:48:55,87.3764534,87.8784884,780.5102394472245,-248.04510915125528,0.2539,5.436400000000001,5.051600000000001,5.074899999999999,5.0301875,5.1584875,4.676925000000001,5.156512500000004,4.117050000000002,5.105975000000001,3.958874999999999
2020-02-12T10:49:02,87.3761383,87.878495,781.8364384023447,-248.0785402254172,0.1663,4.774880555555558,5.1240749999999995,5.006047222222221,5.141033333333334,5.216713888888889,4.808644444444444,5.254033333333333,4.238241666666667,5.209325000000001,4.051172222222224
2020-02-12T10:49:08,87.375805,87.8785034,782.1537341384076,-247.86820279034055,0.11470000000000001,4.826480555555557,5.175674999999999,5.05764722222222,5.192633333333333,5.268313888888889,4.860244444444444,5.305633333333333,4.289841666666667,5.260925,4.102772222222224
2020-02-12T10:49:15,87.3751817,87.8785166,782.7328781457477,-247.9591394133493,0.11800000000000001,5.386824999999999,5.2399499999999986,5.2185125,5.260199999999999,5.378562500000001,4.884362499999998,5.374287499999999,4.3166,5.316412499999999,4.1404124999999965
2020-02-12T10:49:21,87.3747183,87.8785217,784.4227912712939,-248.30022555328097,0.1079,5.196725000000001,5.391500000000002,5.283762500000001,5.352637500000002,5.469524999999998,4.970362500000001,5.504937499999999,4.3592249999999995,5.4461,4.168774999999999
2020-02-12T10:49:29,87.3741733,87.8785334,785.4806170618392,-247.9484768003536,0.154,5.301873239436623,5.4469859154929585,5.3705633802816894,5.381830985915494,5.532760563380281,4.970718309859156,5.539225352112675,4.332859154929578,5.466028169014084,4.133154929577466
2020-02-12T10:49:35,87.3737283,87.8785417,786.6724218846695,-248.06479745452194,0.1691,4.719384374999997,5.494649999999997,5.207212500000002,5.353728124999999,5.4173374999999995,4.897103124999998,5.39324375,4.30368125,5.303384374999999,4.1026187499999995
2020-02-12T10:49:46,87.373105,87.8785583,787.7068572139028,-248.07785042553462,0.1562,4.732284374999997,5.5075499999999975,5.220112500000002,5.366628124999999,5.4302375,4.9100031249999985,5.40614375,4.3165812500000005,5.3162843749999995,4.11551875
