Latitude	Longitude	Snow Depth
71.3131	-156.542	9.6328
71.31313	-156.54192	6.3239
71.31315	-156.54185	12.305
71.31316	-156.54182	16.919
71.3132	-156.54174	16.252
71.31321	-156.54165	21.413
71.31325	-156.5416	14.734
71.31326	-156.54154	7.9937
71.31328	-156.54144	9.5117
71.3133	-156.54139	5.0488
71.31331	-156.54132	17.952
71.31335	-156.54124	22.779
71.31336	-156.54117	23.143
71.31338	-156.54112	21.747
71.3134	-156.54105	29.367
71.31343	-156.54095	22.87
71.31345	-156.5409	13.701
71.31346	-156.54085	2.4075
71.3135	-156.54075	4.7148
71.31351	-156.54067	4.7756
71.31355	-156.54064	0.61627
71.31356	-156.54055	-0.74992
71.3136	-156.54047	3.2576
71.31361	-156.54042	-0.08201
71.31365	-156.54035	6.1114
71.31366	-156.54029	10.271
71.3137	-156.5402	9.2385
71.31371	-156.54014	2.8023
71.31373	-156.54007	4.1381
71.31375	-156.53999	5.9901
71.31378	-156.53992	20.776
71.3138	-156.53989	16.07
71.31383	-156.53982	7.9028
71.31385	-156.53974	5.2615
71.31386	-156.53964	4.2899
71.3139	-156.53955	3.3791
71.31391	-156.53949	17.77
71.31395	-156.53949	19.136
71.31396	-156.5394	21.019
71.314	-156.5393	22.445
71.31403	-156.53924	26.757
71.31405	-156.53915	13.611
71.31406	-156.53909	16.343
71.3141	-156.53899	19.683
71.31411	-156.5389	18.377
71.31415	-156.53882	18.559
71.31416	-156.53874	25.755
71.31418	-156.53869	26.21
71.31421	-156.53859	29.428
71.31423	-156.53854	10.089
71.31425	-156.5385	11.971
71.31428	-156.5384	2.9241
71.3143	-156.5383	3.8957
71.31433	-156.53824	12.671
71.31435	-156.53815	14.644
71.31436	-156.53809	4.7155
71.31438	-156.538	3.4403
71.31443	-156.53792	10.667
71.31445	-156.53787	17.62
71.31448	-156.53775	25.332
71.3145	-156.5377	30.403
71.31451	-156.53764	22.265
71.31453	-156.53759	12.154
71.31456	-156.5375	14.796
71.31458	-156.53741	26.334
71.31461	-156.53736	28.308
71.31463	-156.53727	22.69
71.31465	-156.53722	7.1749
71.31468	-156.53716	18.379
71.3147	-156.53707	14.28
71.31471	-156.53701	24.117
71.31475	-156.53691	22.417
71.31476	-156.53684	24.785
71.31478	-156.53682	17.559
71.31481	-156.53674	14.189
71.31483	-156.53667	14.31
71.31485	-156.53661	4.4728
71.31488	-156.53657	4.8675
71.3149	-156.53651	11.487
71.31493	-156.53649	3.9263
71.31495	-156.53641	7.3878
71.31496	-156.53634	5.5052
71.31498	-156.53626	3.987
71.31501	-156.53621	3.2583
71.31503	-156.53614	3.2279
71.31505	-156.53607	14.614
71.31508	-156.53597	17.863
71.3151	-156.53591	7.2056
71.31511	-156.53586	7.6307
71.31513	-156.53579	10.485
71.31516	-156.53572	11.123
71.31518	-156.53567	18.167
71.31519	-156.53562	22.57
71.31521	-156.53554	20.262
71.31523	-156.53546	17.013
71.31526	-156.53539	31.558
71.31528	-156.53532	33.898
71.31531	-156.53524	22.723
71.31533	-156.53517	15.344
71.31534	-156.53512	11.184
71.31538	-156.53506	12.004
71.31539	-156.53496	12.642
71.31543	-156.53487	12.247
71.31544	-156.53479	25.092
71.31546	-156.53472	13.613
71.31548	-156.53466	13.887
71.31549	-156.53459	13.583
71.31551	-156.53454	12.672
71.31553	-156.53447	11.913
71.31556	-156.53439	1.7403
71.31559	-156.53431	11.7
71.31563	-156.53417	9.271
71.31564	-156.53414	13.583
71.31566	-156.53407	28.918
71.31569	-156.53399	15.223
71.31571	-156.53392	11.306
71.31573	-156.53386	11.033
71.31574	-156.53379	9.0897
71.31578	-156.53372	8.3608
71.31579	-156.53366	18.99
71.31581	-156.53361	16.074
71.31584	-156.53357	15.406
71.31586	-156.53349	8.6342
71.31588	-156.53342	14.04
71.31591	-156.53334	16.682
71.31594	-156.53327	12.4
71.31596	-156.53322	20.205
71.31598	-156.53316	22.239
71.31599	-156.53311	24.001
71.31601	-156.53304	17.897
71.31603	-156.53296	13.523
71.31604	-156.53289	19.263
71.31608	-156.53279	25.853
71.31609	-156.53274	18.109
71.31611	-156.53269	12.218
71.31613	-156.53264	10.183
71.31616	-156.53256	9.4845
71.31618	-156.53251	13.645
71.31619	-156.53244	19.415
71.31623	-156.53237	14.07
71.31623	-156.53234	20.933
71.31626	-156.53226	16.287
71.31628	-156.53221	15.316
71.31629	-156.53214	19.962
71.31631	-156.53211	25.429
71.31633	-156.53204	21.299
71.31636	-156.53197	20.266
71.31638	-156.53186	23.09
71.31639	-156.53181	11.641
71.31643	-156.53176	12.34
71.31644	-156.53167	6.6908
71.31648	-156.53161	8.3612
71.31649	-156.53154	7.5108
71.31653	-156.53147	5.5976
71.31655	-156.53142	3.5021
71.31656	-156.53136	3.1073
71.31658	-156.53129	6.7516
71.31661	-156.53124	7.9967
71.31663	-156.53119	10.426
71.31666	-156.53109	4.2917
71.31668	-156.53102	4.8687
71.3167	-156.53096	7.0553
71.31673	-156.53089	14.465
71.31676	-156.53081	5.142
71.31678	-156.53074	5.6279
71.3168	-156.53069	8.2093
71.31681	-156.53062	5.4153
71.31683	-156.53056	7.6627
71.31685	-156.53051	20.812
71.31686	-156.53042	16.318
71.31688	-156.53037	9.1811
71.31691	-156.53029	6.873
71.31693	-156.53022	10.608
71.31696	-156.53019	12.188
71.31698	-156.53009	16.864
71.317	-156.53006	11.398
71.31703	-156.52998	17.533
71.31705	-156.52989	14.131
71.31706	-156.52984	15.012
71.3171	-156.52978	19.567
71.3171	-156.52974	14.921
71.31713	-156.52964	28.648
71.31716	-156.52958	29.225
71.31718	-156.52948	34.145
71.3172	-156.52941	29.498
71.31721	-156.52936	31.381
71.31723	-156.52929	28.435
71.31725	-156.52924	31.563
71.31728	-156.52918	22.878
71.31731	-156.52906	23.91
71.31733	-156.52896	8.027
71.31736	-156.52888	7.3589
71.31738	-156.52879	11.975
71.31741	-156.52871	27.919
71.31745	-156.52863	41.099
71.31746	-156.52856	28.68
71.31748	-156.52849	21.421
71.3175	-156.52843	13.586
71.31753	-156.52834	0.31337
71.31755	-156.52824	8.1491
71.31756	-156.52818	5.8409
71.31758	-156.52809	7.6935
71.31761	-156.52803	10.488
71.31763	-156.52794	9.5765
71.31766	-156.52786	14.345
71.31768	-156.52778	19.903
71.3177	-156.52773	19.386
71.31771	-156.52766	19.66
71.31773	-156.52758	9.0299
71.31776	-156.52751	10.062
71.31778	-156.52746	10.822
71.3178	-156.52741	15.256
71.31783	-156.52734	7.9061
71.31785	-156.52724	5.6283
71.31786	-156.52719	3.4416
71.31788	-156.52713	6.4787
71.31791	-156.52704	4.292
71.31793	-156.52696	2.6823
71.31793	-156.52689	2.8645
71.31795	-156.52683	5.2031
71.31796	-156.52676	6.6003
71.31798	-156.52669	6.9648
71.31801	-156.52661	9.7589
71.31803	-156.52656	5.2336
71.31805	-156.52649	17.078
71.31806	-156.52644	26.463
71.3181	-156.52641	12.978
71.31811	-156.52631	9.7286
71.31815	-156.52624	3.9884
71.31816	-156.52616	4.5047
71.31818	-156.52609	6.0536
71.31821	-156.52606	11.49
71.31825	-156.52596	13.191
71.31828	-156.52589	9.516
71.3183	-156.52584	23.791
71.31833	-156.52576	24.064
71.31835	-156.52573	6.1751
71.31836	-156.52563	4.535
71.3184	-156.52556	17.018
71.31841	-156.52551	16.562
71.31845	-156.52541	17.99
71.31846	-156.52536	11.46
71.3185	-156.52528	18.445
71.31851	-156.52523	16.41
71.31855	-156.52518	7.4203
71.31856	-156.52509	7.2689
71.31858	-156.52504	5.5984
71.3186	-156.52494	8.1193
