Latitude	Longitude	Snow Depth
71.37086	-156.53466	5.4449
71.37089	-156.53456	3.8199
71.37091	-156.53442	3.6249
71.37092	-156.53429	2.975
71.37096	-156.53414	1.87
71.37097	-156.53402	3.3
71.37099	-156.53387	2.325
71.37101	-156.53372	2.325
71.37101	-156.53372	3.5275
71.37101	-156.53372	7.8498
71.37101	-156.53372	7.6548
71.37099	-156.53372	2.715
