Latitude	Longitude	Snow Depth
71.36584	-156.5427	6.5441
71.36587	-156.54275	6.4792
71.36591	-156.54279	9.8552
71.36594	-156.54282	23.034
71.36597	-156.54287	11.219
71.36602	-156.54289	9.1736
71.36604	-156.5429	7.648
71.36609	-156.54292	4.5319
71.36612	-156.54297	4.5319
71.36616	-156.54297	4.2722
71.36619	-156.543	8.1024
71.36622	-156.54304	7.1286
71.36626	-156.54307	13.75
71.36631	-156.54309	5.5056
71.36634	-156.54312	3.6879
71.36636	-156.54317	4.0774
71.36639	-156.5432	3.623
71.36642	-156.54322	10.375
71.36646	-156.54325	23.813
71.36649	-156.54327	27.383
71.36653	-156.5433	24.852
71.36656	-156.54332	14.205
71.36659	-156.54335	20.308
71.36663	-156.54339	21.931
71.36668	-156.54344	10.7
71.36671	-156.54344	12.972
71.36674	-156.54347	11.673
71.36678	-156.5435	11.998
71.36681	-156.54352	10.18
71.36686	-156.54354	9.5634
71.36689	-156.54357	23.619
71.36693	-156.5436	15.634
71.36696	-156.54364	14.465
71.36701	-156.54367	5.1812
71.36704	-156.5437	11.251
71.36709	-156.54374	8.5571
71.36713	-156.54375	5.1812
71.36718	-156.54379	3.2335
71.36721	-156.54384	4.9865
71.36726	-156.54389	4.9216
71.36731	-156.5439	8.2327
71.36734	-156.54395	3.753
71.36738	-156.54399	4.6619
71.36741	-156.54399	2.5194
71.36746	-156.54402	7.1939
71.36748	-156.54407	12.193
71.36753	-156.5441	4.6619
71.36756	-156.54412	5.3761
71.36759	-156.54417	3.1037
71.36763	-156.54419	3.2985
71.36766	-156.54422	4.9866
71.36771	-156.54424	4.7269
71.36774	-156.54425	10.311
71.36778	-156.5443	11.479
71.36781	-156.54429	6.2851
71.36784	-156.54434	5.8306
71.36789	-156.54439	3.9478
71.36793	-156.54442	6.1553
71.36798	-156.54444	3.5582
71.36801	-156.54447	4.5321
71.36804	-156.54452	3.4933
71.36808	-156.54455	4.8567
71.36811	-156.54455	3.5582
71.36814	-156.5446	3.6556
71.36818	-156.54465	7.6486
71.36821	-156.54467	11.674
71.36824	-156.54467	5.5709
71.36828	-156.54474	6.0903
71.36831	-156.54479	4.7918
71.36834	-156.5448	9.3371
71.36838	-156.5448	20.57
71.36843	-156.54484	8.2333
71.36846	-156.54484	5.8309
71.36851	-156.54489	5.9607
71.36853	-156.54492	5.0517
71.36858	-156.54494	3.9479
71.36861	-156.54497	6.8697
71.36864	-156.545	10.701
71.36869	-156.54504	5.8958
71.36873	-156.54505	3.6882
71.36876	-156.54509	6.4801
71.36879	-156.54514	6.0256
71.36884	-156.54519	6.5451
71.36888	-156.54517	14.402
71.36889	-156.5452	15.051
71.36894	-156.54522	11.869
71.36897	-156.54524	5.3114
71.36901	-156.5453	4.9218
71.36904	-156.54534	9.5322
71.36907	-156.54539	3.8181
71.36911	-156.5454	3.883
71.36914	-156.54544	3.2987
71.36917	-156.54544	7.5193
71.36921	-156.5455	14.467
71.36924	-156.54552	14.987
71.36927	-156.54554	7.5842
71.36931	-156.54557	4.4025
71.36934	-156.5456	4.2726
71.36937	-156.54562	6.4154
71.36942	-156.54562	3.6234
71.36946	-156.54567	4.5975
71.36949	-156.54568	4.013
71.36952	-156.54574	3.4286
71.36956	-156.54577	6.7404
71.36961	-156.5458	6.0261
71.36964	-156.54582	4.7274
71.36967	-156.54583	8.1041
71.36971	-156.54588	10.117
71.36974	-156.54593	5.0196
71.36979	-156.54593	3.3637
71.36984	-156.54597	8.1041
71.36987	-156.54602	7.9093
71.36991	-156.54603	9.9223
71.36994	-156.54607	5.8313
71.36997	-156.5461	9.1431
71.37001	-156.54615	9.5976
71.37004	-156.54618	11.351
71.37009	-156.54622	8.234
71.37012	-156.54622	5.9612
71.37016	-156.54625	12.844
71.37021	-156.54628	16.287
71.37024	-156.54632	10.053
71.37027	-156.54635	9.1435
71.37031	-156.54635	9.663
71.37034	-156.54642	10.442
71.37037	-156.5464	16.352
71.37041	-156.54645	5.7666
71.37046	-156.54648	7.0654
71.37047	-156.54653	3.8833
71.37051	-156.54655	4.5976
71.37056	-156.54658	4.695
71.37059	-156.5466	5.7016
71.37062	-156.54662	8.8188
71.37066	-156.54665	7.1952
71.37069	-156.54668	6.8705
71.37072	-156.5467	5.8964
71.37077	-156.54672	6.2211
71.37081	-156.54677	9.8578
71.37084	-156.54678	8.2343
71.37087	-156.54678	13.819
