Latitude	Longitude	Snow Depth
71.37532	-156.34546	0.3725
71.37532	-156.34546	1.5864
71.37531	-156.34548	-0.23445
71.37531	-156.3455	0.00831
71.37531	-156.34553	0.03866
71.37529	-156.34556	0.28142
71.37527	-156.34561	0.28142
71.37527	-156.34563	0.03866
71.37526	-156.34565	-0.05238
71.37524	-156.34571	0.7366
71.37522	-156.34576	-0.32549
71.37522	-156.34576	1.5256
71.37522	-156.34578	0.12969
71.37524	-156.34583	0.49384
71.37524	-156.34583	0.31177
71.37522	-156.34585	0.34211
71.37522	-156.34586	-0.11307
71.37521	-156.34588	0.09935
71.37519	-156.34591	1.0097
71.37516	-156.34596	0.4028
71.37516	-156.34598	0.4028
71.37514	-156.34605	0.37246
71.37512	-156.34605	3.2856
71.37512	-156.34608	1.4345
71.37511	-156.34611	0.7366
71.37511	-156.34613	0.82764
71.37509	-156.34618	1.5559
71.37507	-156.3462	1.7987
71.37507	-156.34623	1.2221
71.37506	-156.34626	2.7394
71.37506	-156.34628	2.9215
71.37504	-156.34631	0.9794
71.37504	-156.34633	7.352
71.37502	-156.34636	4.4388
71.37501	-156.34641	2.2236
71.37499	-156.34643	2.4057
71.37499	-156.34648	1.9201
71.37499	-156.34648	1.7381
71.37497	-156.34651	1.1918
71.37496	-156.34655	2.2236
71.37496	-156.34658	1.2525
71.37494	-156.34661	2.8609
71.37492	-156.34665	5.8651
71.37491	-156.34671	4.6513
71.37491	-156.34673	0.76698
71.37491	-156.34678	0.55456
71.37491	-156.34678	1.2525
71.37489	-156.34683	0.58491
71.37487	-156.34686	0.52422
71.37487	-156.34688	0.52422
71.37486	-156.34693	1.0704
71.37486	-156.34695	0.55456
71.37484	-156.34698	0.85802
71.37484	-156.347	6.5631
71.37482	-156.34703	20.492
71.37482	-156.3471	20.49
71.37481	-156.34711	64.73
71.37479	-156.34716	53.898
71.37479	-156.34721	72.893
71.37477	-156.34726	53.109
71.37476	-156.34723	35.631
71.37476	-156.34726	23.039
71.37474	-156.34728	12.206
71.37474	-156.34733	23.16
71.37472	-156.34736	47.647
71.37471	-156.3474	34.872
71.37471	-156.34743	11.417
71.37469	-156.34748	17.122
71.37469	-156.34748	31.565
71.37467	-156.34753	21.643
71.37466	-156.34758	23.13
71.37464	-156.34761	13.602
71.37464	-156.34766	26.923
71.37462	-156.34766	25.8
71.37462	-156.3477	27.985
71.37461	-156.34776	19.853
71.37461	-156.34776	45.948
71.37461	-156.34781	39.151
71.37459	-156.34786	20.095
71.37457	-156.34788	49.073
71.37457	-156.3479	26.225
71.37456	-156.34793	57.356
71.37456	-156.34796	37.269
71.37454	-156.34798	38.483
71.37454	-156.34806	72.558
71.37452	-156.34805	12.54
71.37449	-156.34815	56.173
71.37451	-156.34815	86.971
71.37449	-156.34816	25.83
71.37447	-156.34825	69.19
71.37449	-156.3483	62.181
71.37447	-156.34826	68.219
71.37446	-156.3483	65.185
71.37444	-156.34835	67.006
71.37444	-156.34836	24.162
71.37442	-156.34841	53.99
71.37441	-156.34843	49.014
71.37441	-156.34845	47.311
71.37441	-156.3485	36.267
71.37439	-156.3486	47.372
71.37439	-156.3486	29.258
71.37436	-156.34861	25.344
71.37434	-156.34861	26.557
71.37434	-156.34865	10.567
71.37432	-156.34873	37.359
71.37431	-156.34875	44.55
71.37431	-156.34875	17.333
71.37429	-156.34878	42.214
71.37427	-156.3488	59.054
71.37427	-156.34883	7.1992
71.37427	-156.34886	26.011
71.37424	-156.34891	43.276
71.37424	-156.34895	48.404
71.37424	-156.34896	18.001
71.37424	-156.34898	6.8047
71.37426	-156.349	65.304
71.37422	-156.349	37.147
71.37421	-156.34908	26.557
71.37419	-156.34911	13.632
71.37417	-156.34916	5.7731
71.37417	-156.34918	6.0766
71.37416	-156.3492	5.8035
71.37416	-156.34923	7.8667
71.37414	-156.34928	4.9842
71.37414	-156.34928	8.2308
71.37412	-156.34931	2.7693
71.37411	-156.34933	8.868
71.37409	-156.34938	5.0753
71.37407	-156.34941	1.1611
71.37407	-156.34945	3.012
71.37407	-156.34948	8.1095
71.37406	-156.3495	4.6808
71.37406	-156.34951	13.45
71.37404	-156.34955	3.9223
71.37404	-156.34956	3.1941
71.37401	-156.34963	9.7176
71.37401	-156.34965	5.6214
71.37401	-156.34968	5.6518
71.37399	-156.34975	9.3839
71.37399	-156.34975	7.7454
71.37397	-156.3498	-0.02221
71.37397	-156.34981	8.2309
